ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
2,8.746789072012808e-09,0.005507426433071208,0.7120823390272608,0.24014692143538643,0.036391885594687735,0.004564856537457246,0.0008950129239773542,0.000411549050337546,2.510258258655381e-10
3,0.00012831194947744717,0.016689958946832673,0.9277054376150093,0.05048095341479801,0.0016312975324932239,0.0033110934416088634,4.6689627123287924e-05,6.257471144798443e-06,1.5131532626115183e-12
5,5.16689701201369e-05,0.4824992375385857,0.11287580058279718,0.39926744333191966,0.005214869959704264,8.641793171970167e-05,2.2942108554718428e-06,2.26747423149033e-06,6.723688550570293e-14
6,1.0315626982881286e-24,4.0855912300358937e-13,3.7084066632756863e-10,1.991370904140786e-07,6.655831176491855e-05,2.289867578960991e-06,0.015091155004996297,0.7543532055124188,0.2304865917948995
11,5.88671937791874e-26,1.9716295108099236e-15,2.6935740672304685e-10,8.407708275783154e-09,3.8531881578722635e-06,0.001110450943343751,0.05256040150518899,0.5845530238169871,0.3617722618692548
16,3.571331021475562e-10,0.0003725583606334584,0.024321113270778856,0.10849883723623108,0.5176620282743554,0.002542876046805571,0.25109919791602925,0.09550142404439801,1.9644936307166347e-06
18,8.262132052148089e-07,0.0004937969942989144,0.003906441133220531,0.02867581506517305,0.03514854331895273,0.027929475121570613,0.7159482782834884,0.1877775650849157,0.00011925878517138813
19,0.11502461231880376,0.8739820894842671,0.009976886085239663,0.0009904061941354604,2.594175441495111e-05,6.209709815667963e-08,1.4901392357317812e-09,5.758987561468531e-10,1.8741698578801996e-19
27,1.2403548986976459e-15,3.5857118928688954e-08,0.0002712619100098816,0.0009031331998472806,0.03608050999911539,0.010123758115861654,0.8223264207823759,0.12678438319060778,0.003510496945076646
32,9.588440116718119e-16,4.5256657135061434e-09,3.4829759403031666e-06,5.036234856630982e-05,0.009422704408053201,0.00852730141384584,0.1763917824459416,0.4621902655262848,0.3434140963556997
39,2.1605647176860573e-18,1.8988575449780245e-08,0.002820680082339406,0.0009128806851990469,0.21326765669858028,0.25702590809144105,0.49496997662283093,0.030402934616597845,0.0005999442144389434
49,2.4597991429269143e-06,0.007029095663435562,0.11208265990279234,0.6529069645124858,0.13084878711433742,0.04235127426498904,0.029574639612007857,0.025204008215723602,1.1091508547809773e-07
52,0.013289020756471724,0.01080128516602874,0.3353583077018361,0.18641690902246547,0.0963074053497306,0.04428662485497572,0.10006485606482945,0.14616351480005063,0.0673120762836113
60,3.197898663925513e-17,3.3049227932158698e-09,2.693926341917236e-06,0.0002709008349301388,0.0025985619510799935,0.16152896410009418,0.37764665825012206,0.3954707367343459,0.062481480898164896
63,1.2000822542795954e-05,0.012345025157095927,0.9363995817046179,0.013879571138460795,0.00813131084311926,0.0027390933876872575,0.00499010854604316,0.02150279204224843,5.163581841639339e-07
66,0.006056828283387409,0.27770933685307136,0.33969913530681073,0.26850874766685245,0.10083450173300831,0.003294592858658884,0.0036485182646415156,0.0002483389560045826,7.756838578070903e-11
77,5.851198582505844e-40,1.216911361027988e-24,6.204798193678773e-17,2.79117749940604e-16,2.6922695107975444e-10,9.82315315645139e-09,0.0002850271283599401,0.0002214646684299727,0.9994934981108284
99,0.013535478737948988,0.904172325662449,0.02763712321289849,0.0507054164742077,0.003916129682725762,1.6432373795829808e-06,3.6489293270110826e-07,3.1518099444744356e-05,1.1547271870648866e-14
100,0.010348781487117499,0.8338650923746208,0.14034401042640562,0.007200391566410739,0.008213091852807644,1.6663596548990927e-05,1.3259159687914443e-06,1.0642779272074238e-05,8.481874312947108e-13
106,2.0959483532074268e-05,0.014965391082354262,0.18113651780719806,0.7178406175682996,0.06667042583533023,0.0173380218655959,0.0008609360245104494,0.0011671180425134404,1.2290664882148052e-08
109,7.281098652827105e-14,6.403198042834609e-07,0.0002885664400140454,0.025279961019829326,0.1804041142769229,0.015861909797305493,0.25323317901613684,0.5238717963080872,0.0010598328218274912
110,1.1308438765028637e-39,4.3582024394068755e-24,6.279700681387513e-17,5.562469472887561e-16,2.0423443656768398e-10,2.063571094938524e-07,1.6882723998788258e-05,3.033491184645898e-05,0.9999525758028095
113,7.167678990576849e-23,2.0538922947864046e-12,2.79038677099595e-09,6.761130765710443e-07,0.00032059573169563644,0.004967258320105643,0.12658579754798693,0.0639165652415493,0.8042091042531454
137,0.99963266929525,0.00036672242279362985,3.9980690497699805e-07,2.0640391296315214e-07,2.066567174125645e-09,2.1674061341826365e-15,8.224140538639018e-16,4.568857525541985e-12,2.392157295298883e-26
139,9.98394396549589e-08,0.006262551492699531,0.2930448081948875,0.06437548403165533,0.6125575270956167,0.0053019688466056855,0.01770646242227748,0.0007510940713828769,4.005435429191347e-09
154,3.288543117650212e-07,0.11967996130287356,0.1951312160330452,0.19547454680622464,0.48736053948612296,0.00013788468678457987,0.0009130937765059202,0.0013024290482559235,5.880675503491169e-12
161,3.116696733682757e-13,2.6225083577603087e-06,0.004548684340282998,0.001184344708257745,0.020184006043375387,0.39620534035587385,0.547682918181954,0.014159206274883982,0.016032877586702514
