ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
2,3.207105445495921e-06,0.03258455931436446,0.6733399204693765,0.19373070550644464,0.0952921143917928,0.0012748701166164968,0.0009250476621838248,0.0028495693725870464,6.061190389696285e-09
3,0.0001370871870936117,0.0578161594089965,0.6201500267322557,0.21210414556395155,0.10041705618074462,0.007318767424212264,0.0004801348167473516,0.0015766146744268146,8.01157143757747e-09
5,0.00012572288743531543,0.569469464681949,0.15502716086600934,0.25216104219092583,0.023117947058778385,8.589122378309636e-05,2.204056665456119e-06,1.0567032903030643e-05,1.5507667342443585e-12
6,3.877433363316719e-09,0.001809033609832999,0.09380971071442334,0.032623378228901836,0.5648190665231481,0.15235475548197533,0.13758450266897937,0.01639653468542311,0.0006030142098809096
11,6.133226022777401e-19,2.8370974628854876e-10,1.5775910935721868e-06,2.363514343469544e-06,0.000560829105940683,0.036725201235404605,0.34608760005530187,0.07180097917320287,0.544821449041
16,8.74597948697608e-10,0.00041169625203257577,0.03451214226123835,0.06979518576900577,0.3076083173517776,0.0027461106140907166,0.023587681675852092,0.561317322131461,2.1543069943166e-05
18,4.786425579250955e-07,0.0007538042164668499,0.0015741352865104876,0.0408258678356314,0.060923989152707594,0.039649108736470186,0.3611809647364265,0.49493961952678334,0.00015203186644391695
19,0.09451616820295015,0.8791166377327286,0.0214145374357685,0.004454618036931701,0.0004974548461237974,8.11174242024139e-08,6.662406568615712e-08,4.3600400471266086e-07,1.0881385969854807e-15
27,4.7543228188142964e-12,2.758153921529569e-05,0.005143587925273875,0.0182825446025557,0.1412118632710536,0.16645842617973935,0.09324585575844146,0.5744579223036423,0.0011722184153257586
32,3.4659919825821088e-15,3.5287585208141335e-08,2.3968068166107296e-06,4.283373885009799e-05,0.011072231838198004,0.0307343530447739,0.05427422845128249,0.6740599668384024,0.22981395399408847
39,2.196602454065894e-14,1.4043536294669818e-06,0.010643408793285168,0.0013693672561216413,0.11143889129330212,0.5350367607637995,0.33374029502968705,0.006887266567191299,0.0008826059429625186
49,7.674039084514972e-07,0.0027530654189359014,0.2711977746508819,0.24993282166994948,0.2681025569586586,0.005952498980859775,0.01022338930378766,0.1918365156498817,6.099631427047009e-07
52,0.02393765238217431,0.03807862625207315,0.28765356444855184,0.3676356177644288,0.06987226627620961,0.08876478468374069,0.06004883098701741,0.03441940564045476,0.029589251565349826
60,5.280025451385695e-16,1.7345911471476134e-08,4.523100620362538e-06,0.000148427743130018,0.008413620757391672,0.13379990832981326,0.3765249084965633,0.2236397144676641,0.2574688797589073
63,2.000942983107291e-06,0.013237018535839562,0.8733407319652262,0.027408246357813228,0.07150192507790248,0.004105447291304821,0.0029022811154295696,0.00750162961290858,7.191005925609081e-07
66,0.00021505234861467985,0.17353937936683553,0.17300030068809694,0.5382011086763688,0.10558680424313194,8.728227281895534e-05,0.0016354635958013952,0.00773460196065745,6.847670581859063e-09
77,1.9941327403214838e-29,2.7295480715452093e-17,2.8825578694180225e-11,2.7738903962658856e-12,2.8617209139080336e-07,2.556739868129831e-05,0.00993012821896626,0.0005210720191246423,0.9895229461595418
99,0.0045868414952903456,0.9633542215172544,0.013774893960369667,0.01528011851076801,0.0029998484719644955,2.5296462370218422e-06,1.0588228520522987e-07,1.440515820780928e-06,8.99006308912535e-15
100,0.0064004975452902485,0.847204541593562,0.12336376182931716,0.016876492472649027,0.006137366918792388,1.671298737970427e-05,1.8788330949390367e-07,4.387696250098283e-07,7.45960616310314e-14
106,4.1863486466489814e-05,0.03788747392028395,0.18775165039265218,0.441950934574064,0.29447684800439955,0.03632254728049343,0.0011797984566694353,0.0003888020108836203,8.187408786256108e-08
109,4.5062214427095277e-10,7.293249917636372e-05,0.025901083914857483,0.10721309153782232,0.2016229825230167,0.11620497066084093,0.23960887647593915,0.30551920560465723,0.0038568563330667175
110,2.1944131896749145e-32,7.007601223851977e-19,1.92594166876389e-12,1.1827929257180929e-12,1.8992543247099882e-08,6.262286513832504e-05,0.0008622272673941314,1.8928720510738704e-06,0.9990732379997654
113,1.9254622552836973e-18,1.4471180009288139e-09,4.1759553074304606e-06,4.1759201314968606e-05,0.007032203350589365,0.04284735870852454,0.6994022769182232,0.08937463005686683,0.16129759436205549
137,0.9993873603166634,0.0006075282843522239,1.370106260160441e-06,3.739142873616938e-06,2.149126241953357e-09,2.8979822464299285e-15,1.1018829640830872e-15,7.19906179005695e-13,3.20242269777143e-26
